feature_set,metadata_source,dim,model,cv_weighted_r2,Dry_Green_g,Dry_Dead_g,Dry_Clover_g,GDM_g,Dry_Total_g
all_models_all_crops_pca256,all_models_center_pca256,258,xgboost,0.5403228062060244,0.6060630057229947,0.24181479103664427,0.48774140739127314,0.6056476394537754,0.5712627158003561
all_models_original_pca256,all_models_center_pca256,258,xgboost,0.5287163743391985,0.6141323688441183,0.29346858276254395,0.4353431821369286,0.6190875486581002,0.5412089024664387
all_models_all_crops_pca256,all_models_center_pca256,258,lightgbm,0.5251700575196827,0.59768518003416,0.2341632457585121,0.5191552554186953,0.6282075251747496,0.5288563687271921
all_models_center_pca256,all_models_center_pca256,258,xgboost,0.5119873390532304,0.5906793165373003,0.18693066702853223,0.457167393077503,0.5771164177724858,0.5461726356687993
all_models_original_pca256,all_models_center_pca256,258,lightgbm,0.5095547513823929,0.6040948847895875,0.2806308976318983,0.4653109601287313,0.6081530625339758,0.5058409292411521
all_models_highveg_pca256,all_models_center_pca256,258,lightgbm,0.5083641457549608,0.5676966707406825,0.21075291222586845,0.41596437245516693,0.6178478890106498,0.5307063448213182
dinov2_large_all_crops_pca256,all_models_center_pca256,258,xgboost,0.5063269966629947,0.5827460971680478,0.2527740412112095,0.40481861943525344,0.5997206041694534,0.524698000095306
all_models_highveg_pca256,all_models_center_pca256,258,xgboost,0.5047074585923899,0.5446442433998251,0.19520012557616873,0.37931065389767527,0.6187033950520866,0.5381025545892113
convnextv2_base_all_crops_pca256,all_models_center_pca256,258,xgboost,0.4932528429979652,0.5481671966962519,0.20348926123424138,0.34247920917325547,0.5874504989764484,0.5326983529846012
all_models_center_pca256,all_models_center_pca256,258,lightgbm,0.4919717123890994,0.5534166032248057,0.17912164774338357,0.4708143709944298,0.5630189586167555,0.5180653169389728
convnextv2_base_all_crops_pca256,all_models_center_pca256,258,lightgbm,0.4901479698656526,0.5192656197539252,0.22223507789826946,0.3732170020383204,0.5746583340688736,0.5274890661656528
siglip_base_all_crops_pca256,all_models_center_pca256,258,xgboost,0.4873362223352449,0.5559417605465741,0.1405107440284027,0.3686217460781943,0.5603314738275913,0.537525005008819
all_models_all_crops_pca256,all_models_center_pca256,258,catboost,0.4832149644327548,0.523816442651863,0.20373634742994007,0.2725915738397996,0.5790572874638175,0.534778141095662
siglip_base_all_crops_pca256,all_models_center_pca256,258,lightgbm,0.4820375866764711,0.554023265339987,0.13458949857836933,0.4572018077862785,0.550831175806375,0.5145797886894652
dinov2_large_all_crops_pca256,all_models_center_pca256,258,lightgbm,0.4790151586452446,0.5847805408542384,0.2095143139158112,0.3721672303225003,0.5898542214790843,0.4887962116803455
all_models_original_pca256,all_models_center_pca256,258,catboost,0.46029007971250113,0.5052401948093378,0.20843311427800315,0.25803367079060213,0.5528892641412548,0.5050830577929117
all_models_canopy_pca256,all_models_center_pca256,258,lightgbm,0.4586213558124242,0.5028843456292952,0.12497460661510074,0.5569485197683608,0.5701867692767677,0.4522065095115899
all_models_canopy_pca256,all_models_center_pca256,258,xgboost,0.448416379174065,0.5135875549647607,0.12745559980252996,0.5040958202074373,0.555004902711332,0.44580300226865166
all_models_highveg_pca256,all_models_center_pca256,258,catboost,0.4425444524349739,0.4759510698426024,0.1649178611365616,0.25417584728203246,0.5308507043579941,0.4937396674745109
all_models_center_pca256,all_models_center_pca256,258,catboost,0.43723254772407194,0.4823368852980805,0.15580757463235084,0.2388983587690403,0.5187187942354308,0.49156901401407727
siglip_base_all_crops_pca256,all_models_center_pca256,258,catboost,0.42575063447760275,0.45971414480388495,0.15043411899992554,0.20204775858297275,0.4862463593143247,0.49456352075211896
dinov2_large_all_crops_pca256,all_models_center_pca256,258,catboost,0.4013209398521365,0.44891833411213244,0.15805420467006026,0.22735042440951192,0.4698176860792198,0.4478502126342442
all_models_canopy_pca256,all_models_center_pca256,258,catboost,0.37399895961565766,0.41617894989105,0.10273338627591844,0.2774742687761894,0.4464380551072905,0.41014537619976754
convnextv2_base_all_crops_pca256,all_models_center_pca256,258,catboost,0.3726193995129219,0.37479540787585763,0.16670124590386093,0.17529863406564095,0.44994279963766004,0.4219026216017079
